subject,session,vector
sub-20842,ses-1,"[0.00986938543,0.001426370536,0.001673000263,0.04437809157,0.2357438766,0.288292031,0.002685650861,0.0001545012214,0.001681774406,0.005124099768,0.006557718509,0.002870098616,0.002864757833,0.008644629452,0.004128806715,0.002964706771,0.005589510855,0.002485562242,0.00229195886,0.001886250097,0.001792023426,0.002689084222,0.003790239223,0.001502476693,0.001497898879,0.001507054507,0.0004461461196,0.0008762698904,0.002199067385,0.006160402405,0.003957710918,0.0004551110053,0.002773392296,0.0007530503977,0.004098287955,0.003584809821,0.006265692126,0.007965968531,0.008376827335,0.005703956204,0.001302769558,0.001757499079,0.003212671694,0.006712601215,0.0009071701346,0.0009733576949,0.0104643105,0.01020833441,0.003671025318,0.001695126364,0.00102638404,0.0007925340432,0.0004886816411,0.001446207729,0.002563957307,0.003440799424,0.0009189961541,0.003285725975,0.008563373254,0.006995090485,0.001790497488,0.0008119897526,0.003307661334,0.00160910161,0.002053912534,0.001015702474,0.001651637131,0.000958861284,0.004571710216,0.006318527729,0.01045858824,0.008161097851,0.002281086552,0.001801751281,0.0009029738052,0.000958861284,0.001813768043,0.0008209546383,0.005731041603,0.005992930711]"
sub-20846,ses-1,"[0.008071699433,0.001293501081,0.001646117477,0.05170922279,0.2084826258,0.2709020452,0.002532827112,0.0001085415292,0.001103026969,0.006184187126,0.005391853106,0.003466054546,0.003574404644,0.01407230397,0.003468351721,0.001989353741,0.004864842824,0.001931350067,0.002830311304,0.001517092802,0.00196351052,0.002825716953,0.00305773165,0.001176919438,0.001594813897,0.002519235492,0.0006885782725,0.001049809076,0.003082617715,0.00783585611,0.00501358492,0.0006164086843,0.002621076927,0.0009992712212,0.003194030714,0.002336418631,0.009636075759,0.008994398147,0.007554069283,0.005653156788,0.002510812517,0.001493546756,0.002582790674,0.007627004596,0.00112140437,0.001230328762,0.01099408918,0.009283267931,0.002403419575,0.001879855056,0.001503692613,0.0004996356106,0.0005595535976,0.001418122836,0.002000456755,0.003178524781,0.001293501081,0.003890074806,0.00697403254,0.007709128611,0.002348861664,0.0005321789262,0.003590867733,0.001703163995,0.002049271728,0.001317429989,0.001285460967,0.0008583778076,0.005078671551,0.006644005033,0.01027105328,0.01063879274,0.001641140264,0.001668897798,0.000800182702,0.001703163995,0.001453154759,0.001379645152,0.008448244738,0.006667168217]"
sub-20849,ses-1,"[0.007851580214,0.001043423424,0.001539787691,0.0497762554,0.2159398109,0.2909039995,0.002265300294,0.0001403858531,0.001739410431,0.006089886313,0.005826755687,0.002682186855,0.002947174438,0.01404397048,0.004058933833,0.002344963695,0.004474520525,0.002129928221,0.005072274574,0.001734582347,0.001466995026,0.00199827006,0.002759621909,0.001069420804,0.001629850043,0.003395443551,0.0006885591843,0.0005483590268,0.0020175824,0.008266795515,0.004520944418,0.0005849410547,0.002434654656,0.0009405480768,0.004181864302,0.002879581249,0.008106168844,0.007984723939,0.009770001177,0.005364930797,0.001448982555,0.001781377631,0.002235960393,0.01082716607,0.001101174747,0.001094304011,0.01185721942,0.009307990592,0.002593424371,0.001803104013,0.001391416928,0.0007318262528,0.000778250146,0.001058650461,0.00246009495,0.002539201264,0.001323266653,0.00366767326,0.006373443453,0.004312779681,0.001364119679,0.0006997009187,0.003528772972,0.001296155099,0.001051594029,0.0007509528968,0.001205349964,0.0004679528437,0.003667858956,0.008764273954,0.009166490565,0.007446206778,0.001858255598,0.002057692643,0.0009333059494,0.001434498301,0.002080347503,0.001353535031,0.008675511471,0.005264098101]"
sub-20860,ses-1,"[0.01273659273,0.001980958471,0.001502347189,0.03720719638,0.2098404351,0.2539867832,0.004652272529,0.0002448992709,0.001539773655,0.006040102866,0.005995150425,0.003050257032,0.004234886064,0.01088581327,0.00141386614,0.00173300813,0.004883950494,0.001671783312,0.002126799649,0.002450823352,0.001483633955,0.002416447956,0.004528399061,0.001272703271,0.001530620443,0.002746370396,0.0007129335088,0.001148829803,0.004435239703,0.007881322301,0.004719396083,0.0007770059925,0.002421939883,0.0008892853925,0.002130460933,0.002325729455,0.006838466353,0.008713247566,0.01139900336,0.006127363486,0.001563978816,0.001611575518,0.003168841978,0.006889520935,0.0009082020305,0.001622355968,0.01326890286,0.01019220321,0.002530354593,0.00174724646,0.002113578342,0.0008024315813,0.0008443329515,0.001595099736,0.00331529337,0.003690981869,0.001800131684,0.004804012443,0.006060850146,0.007011156952,0.001682360357,0.0008571474483,0.006035017748,0.0009283390968,0.001786096759,0.001366879652,0.002505335814,0.0006765240657,0.003402147181,0.00908222371,0.01263509378,0.01519534887,0.001663443719,0.002158530783,0.001085774342,0.002053777358,0.002769761937,0.002065371426,0.008326168402,0.005951825222]"
sub-20919,ses-1,"[0.01349576373,0.001129199467,0.001686242068,0.03111936063,0.2786139891,0.2713469414,0.003425293012,0.0001602476263,0.001224983843,0.006408630354,0.004455612409,0.002747154193,0.004061366828,0.0119193277,0.003365382252,0.002042246737,0.004412636909,0.001214057869,0.00292433708,0.001689884059,0.00154784639,0.001971956301,0.004883728511,0.001036510783,0.001370481404,0.002215787633,0.0004064462521,0.0008826366416,0.001911317143,0.007257032276,0.004457069206,0.0005832649398,0.002722206552,0.0007109167421,0.002441773206,0.003446598662,0.007593552291,0.006370935742,0.009098605281,0.004986068472,0.001878903418,0.0006959845769,0.003237730449,0.01093198381,0.000969498139,0.001012837838,0.01326431517,0.007490483931,0.002095237714,0.001997632341,0.002063734487,0.0007852133688,0.0002556678038,0.001556769269,0.002356004306,0.002732950426,0.001384503071,0.002750067787,0.005745423701,0.004616042135,0.000916325063,0.0005146133999,0.002691249624,0.001637621481,0.001351543048,0.001592824985,0.000903031794,0.0005259035735,0.002663206289,0.009254664617,0.00782572925,0.008626967381,0.001823909346,0.002485659203,0.0009374486138,0.001392879652,0.001185832435,0.0009918963868,0.005909131219,0.003374123031]"
sub-21050,ses-1,"[0.0116076861,0.0006814509509,0.000755694041,0.02621893967,0.2703980603,0.3086622173,0.002709186767,0.0002157165762,0.00148867305,0.005255557065,0.005989298324,0.00300326258,0.003160743303,0.009632393038,0.002344526661,0.001509863583,0.003618855184,0.001435468043,0.005706656251,0.001762777929,0.001239874851,0.001465805569,0.004017054263,0.00103025627,0.001354364709,0.00331288828,0.0005450083108,0.0006796215523,0.001715213568,0.005549023078,0.002667110601,0.0005933349219,0.002062189488,0.0008433527204,0.004163253695,0.002685252136,0.005677080975,0.005536217289,0.006565558859,0.005214395598,0.001491417148,0.001829855875,0.001991147845,0.0104290961,0.0007683473808,0.001485624053,0.01845268558,0.008237019312,0.002202138475,0.001468854566,0.001983220452,0.0006488266771,0.0003236510892,0.0009316211993,0.001865071797,0.002633876527,0.0007372476059,0.002562072635,0.006548332023,0.006915888677,0.001420070606,0.0007701767794,0.002898986864,0.002347575658,0.001268992777,0.001806378594,0.001616883397,0.0009720204167,0.003283008104,0.006413413882,0.006147998646,0.006474546282,0.001508491534,0.003286362002,0.001068368739,0.002113717547,0.001025835223,0.00104229981,0.00676359125,0.002843800008]"
sub-21088,ses-1,"[0.008385672554,0.001039616085,0.001058331694,0.03483712651,0.2556285844,0.3081298266,0.002675072375,0.0002233276029,0.002299140576,0.003893566491,0.005133295626,0.002273046698,0.002464701732,0.01079638695,0.004146767086,0.0009625941562,0.005042057033,0.002181088273,0.004913747137,0.002224458098,0.001754768296,0.002794564339,0.003366650117,0.001043395199,0.002438607854,0.001993752226,0.0004176820034,0.0007808368001,0.002817239019,0.005226513755,0.003324360039,0.0004419763035,0.002137538491,0.001001824952,0.003928118385,0.004983030881,0.006125942731,0.005440483554,0.008805694008,0.006749136518,0.001765745721,0.001944983668,0.002241194171,0.01048595978,0.0006345311263,0.001016401532,0.008675584534,0.007050565796,0.003438093355,0.001676486663,0.001838088748,0.0003350813832,0.0002389839296,0.0008663167448,0.001872280725,0.002310297958,0.0008555192781,0.002171010637,0.01009707103,0.006107946953,0.00166370966,0.001102241392,0.002917295544,0.0009881481607,0.001501387744,0.001305773639,0.001928787468,0.001252326179,0.003426576057,0.007873332759,0.008080284204,0.009334769876,0.001817753519,0.002579694752,0.0009696125095,0.001460177413,0.001262223857,0.0009332610383,0.004609438534,0.003426935972]"
sub-21131,ses-1,"[0.008821259178,0.001153020647,0.00160699682,0.04167720632,0.2637087437,0.2964875714,0.002326606466,0.000146184098,0.002142719552,0.006013084933,0.006991815747,0.003680308916,0.002916655527,0.01428645365,0.003622726435,0.002257541763,0.004737016007,0.001801337696,0.004818933943,0.001767405162,0.001415055214,0.001959346768,0.00447258217,0.001105035245,0.001521137227,0.002275879041,0.0005549168927,0.001000152868,0.001674519135,0.003540979876,0.003676881388,0.0005233836289,0.002670044839,0.0008640799793,0.002524717623,0.002785209802,0.008715862671,0.006182576227,0.008211501827,0.004623393432,0.00158009072,0.001564152711,0.002289246403,0.006594907926,0.001223284985,0.00122448462,0.01350429161,0.006966623411,0.002397727686,0.001338107195,0.001676747029,0.0005434346716,0.000423471168,0.0009804445779,0.001368783577,0.003821008968,0.0007496005215,0.003482711888,0.006077008343,0.005072228312,0.001034770907,0.000798785558,0.003514073775,0.001280867466,0.001801337696,0.001112575808,0.001679660428,0.0006308366529,0.003322474922,0.005429548176,0.006867567833,0.005905289157,0.001235624088,0.001799795308,0.0009451410325,0.001462526486,0.001228940407,0.00122876903,0.00619251606,0.003391025496]"
sub-21146,ses-1,"[0.008185549023,0.002203589062,0.001489200012,0.03922030192,0.2404877897,0.2736447432,0.003005275386,0.000356813314,0.001197573746,0.005102887843,0.004728157622,0.002604241618,0.00281314514,0.009260944705,0.002461287566,0.001424012964,0.003896165038,0.001597273275,0.002464909069,0.001659982453,0.001311174566,0.001867742342,0.004180548299,0.001454891039,0.001610043837,0.002127537506,0.0004982425229,0.000670549807,0.0023778024,0.007211936625,0.0051436774,0.0006331911481,0.002618155813,0.0007953963458,0.003032341353,0.003123450735,0.009522455318,0.006204015255,0.01150989785,0.005111274481,0.002589946213,0.001347770803,0.00298602424,0.01128193379,0.001292114025,0.001111610709,0.0158368311,0.009540753436,0.001582024843,0.00234501827,0.001966666546,0.0006482489749,0.000441060902,0.001345864749,0.002454044561,0.002990408164,0.001516075374,0.002949046792,0.006291693741,0.004640669742,0.001763862397,0.0007588001085,0.004227437228,0.001123809455,0.001442120477,0.001580881211,0.001290207971,0.0004441105885,0.003684021225,0.01041601345,0.01007292372,0.01099068874,0.001680377231,0.002480729317,0.0009455934032,0.00160203841,0.001748995176,0.001089500482,0.009122183972,0.003388582851]"
sub-21150,ses-1,"[0.007720008853,0.001305140979,0.001549263022,0.03415849624,0.251204388,0.3136824442,0.003083268415,0.0002057149111,0.001335305484,0.003590979129,0.005370509566,0.003065029412,0.00296839777,0.01031205181,0.003674983769,0.001099601443,0.004625341061,0.001321626232,0.001955080843,0.002268300648,0.00148121751,0.002213583638,0.004586407804,0.001203248086,0.002181314632,0.002312845905,0.0006211783589,0.000742011755,0.002233401016,0.005010113878,0.003411921223,0.0005110428396,0.002206919387,0.0006639698664,0.002890706632,0.002695514222,0.006391192245,0.005613754734,0.008742620657,0.004374028642,0.001092235691,0.001632390786,0.003824403295,0.008501655365,0.0008975694073,0.00114169145,0.01153441577,0.007431166177,0.002042592983,0.001181150832,0.002126948373,0.0004714080826,0.0003565374375,0.001387391868,0.001911237085,0.003245139569,0.0009591260431,0.002161146504,0.005756159259,0.004690229822,0.0009207189114,0.001041376933,0.002175351881,0.00131040223,0.004429271776,0.001093638692,0.001188516583,0.001337409984,0.004392618395,0.007526570194,0.008287171702,0.007083748241,0.001591002279,0.001772690811,0.0009426407902,0.001530848643,0.00153803902,0.0008181245184,0.009295928879,0.004242672744]"
