subject,session,vector
sub-20402,ses-1,"[0.007827231709,0.001356164692,0.001998713269,0.052375796,0.2554057891,0.2843410601,0.00310524302,0.0001548782229,0.001512023157,0.005669065754,0.005772971398,0.003269106794,0.003140041608,0.009101382827,0.003233327964,0.002374309297,0.004489671354,0.001876183029,0.003717240724,0.001613641569,0.001378056762,0.001986623619,0.004420564299,0.001273497624,0.001290488484,0.002213059502,0.0005526930676,0.0007276662498,0.00288517871,0.004570377939,0.004876703538,0.0005832439407,0.002864103508,0.0007980802942,0.003045284889,0.002520855464,0.008198416648,0.008585285458,0.007268657189,0.005979802442,0.001416612944,0.001430989825,0.002893510766,0.008633807433,0.0009207739075,0.001026313287,0.01575853243,0.007096297986,0.001915719453,0.001364333375,0.001644682563,0.0008658803602,0.0004236278819,0.001020268462,0.001567243452,0.00368619973,0.001316301521,0.00301310028,0.00621587737,0.006165394912,0.0008902230344,0.001025006298,0.003990728218,0.001097380826,0.001730780478,0.001185275852,0.001275948229,0.0007944860739,0.002944973466,0.005135487404,0.007259018144,0.008053667591,0.00201260003,0.002252922673,0.0009379281411,0.002274487995,0.001942676106,0.001559728264,0.005656976104,0.002688966952]"
sub-20403,ses-1,"[0.008528383488,0.001232253939,0.002078982875,0.04878179609,0.2561493588,0.2934679846,0.003013220639,0.0001990015567,0.00165553738,0.004741033829,0.004558561718,0.003666781941,0.003365848805,0.009537327863,0.003728848387,0.001910933515,0.003618652085,0.001470958575,0.003804527318,0.0017809667,0.001092401868,0.002116417207,0.003656248471,0.001021422485,0.0009875533277,0.002620241181,0.0005522779358,0.000589388161,0.003346726505,0.0033081578,0.004174009035,0.0005825819188,0.002297754945,0.0008478633099,0.003898518281,0.003616545391,0.005891288755,0.007254319776,0.008768708658,0.005948655654,0.001157061168,0.002215107719,0.002665129968,0.009781218207,0.0008588829401,0.0012136178,0.01749009773,0.007667555908,0.001676442267,0.001246028477,0.001324948475,0.0007238924704,0.0004777333788,0.000881570414,0.001378750199,0.00492107514,0.001024825606,0.002142345749,0.005055579449,0.005321184947,0.001035845236,0.0008600173138,0.004206581766,0.001137452709,0.001378912252,0.0008867561223,0.001459614838,0.0005216498461,0.00370745734,0.00563346182,0.007727677713,0.007006702204,0.001677900747,0.002989236738,0.001427366214,0.001524436192,0.001430931389,0.001087378213,0.007388824086,0.003748294793]"
sub-20410,ses-1,"[0.009050823638,0.003005569332,0.001699750673,0.04700306325,0.2335336418,0.2723057877,0.002570170789,0.0001905575439,0.001760631075,0.005553875952,0.008604493011,0.002287067495,0.003116021083,0.01166340338,0.003718416642,0.001832820531,0.00436680235,0.002403173773,0.005263987225,0.001562911131,0.001276415121,0.002365476929,0.002499866176,0.001411746789,0.0009190490443,0.003118094409,0.0008097281982,0.0007586489753,0.002195464165,0.0064239191,0.004966370646,0.0005931598324,0.002532285462,0.0008811637166,0.004170401796,0.003931403808,0.007413649725,0.007248726035,0.01072776772,0.00463181116,0.001255870341,0.002126667426,0.002618422749,0.01302444791,0.001189523896,0.0009090593808,0.0140778862,0.008852349757,0.00280125244,0.00180775213,0.00151145494,0.0007976652083,0.0005241746088,0.001007259658,0.001546701488,0.002317790422,0.001383474156,0.003132042242,0.007069477544,0.004832169883,0.001940256535,0.0005918404428,0.003941204987,0.001119219283,0.001787961287,0.0009000121384,0.001239660698,0.0006696844246,0.004052033707,0.008900413233,0.007899750522,0.00954653713,0.001767039539,0.001434176411,0.001033647449,0.001117522925,0.001963440093,0.001055134649,0.008759615522,0.00402715379]"
sub-20448,ses-1,"[0.008857100107,0.001901908374,0.001530430349,0.02704788575,0.2587624296,0.2660100378,0.00577869072,0.0002305343483,0.001967669774,0.006215560699,0.006266359534,0.003245029565,0.003480736158,0.007463549527,0.002205777767,0.000717648993,0.003469652776,0.001462452272,0.003127545714,0.002192477709,0.001537080379,0.002404909199,0.003440466536,0.001041653197,0.002410635613,0.002341549198,0.0009003400751,0.000592960944,0.003455244379,0.007129385556,0.003998145381,0.0007056419957,0.002732792587,0.0009747834584,0.002814994338,0.003147680525,0.005943833114,0.00625028863,0.01041265279,0.004774721022,0.00199907269,0.001262212502,0.002990111776,0.009400924724,0.001400570055,0.00106677553,0.02110663876,0.006912705435,0.002217600041,0.002287794795,0.001963236421,0.0004869299216,0.00052516759,0.0008742941271,0.002662413111,0.002512972175,0.000962222292,0.003731220594,0.007251487482,0.005492185292,0.001530799795,0.000962407015,0.003288993647,0.0009840196102,0.001711643647,0.001187214949,0.001675992101,0.0008391967504,0.002652253344,0.007741557695,0.00847509287,0.008773051126,0.001970994789,0.002783406699,0.001200515008,0.001318553028,0.002034170067,0.0009417180351,0.008755317714,0.005114980853]"
sub-20612,ses-1,"[0.007394100202,0.001022933151,0.001779312612,0.05383107055,0.1967248216,0.2688399881,0.002442264814,0.0002158360348,0.001370520687,0.003843864365,0.005547672498,0.002308797301,0.0038335683,0.01257683439,0.004206895999,0.003575213329,0.008382903803,0.001441449137,0.003305227617,0.001989809946,0.002261130333,0.002846099374,0.003659679197,0.001014162428,0.001691605389,0.002506901224,0.0007294952907,0.0009470473364,0.001971887166,0.006202235314,0.006981685588,0.0006398813893,0.003345839875,0.0007954663755,0.005393803523,0.004338838169,0.008177363834,0.008348011582,0.008579291715,0.007931020939,0.002271807734,0.002337588151,0.003190064221,0.006249902283,0.000793178361,0.0008919443204,0.01082383394,0.01160023353,0.002932471921,0.001367660669,0.001321900379,0.0008242572247,0.001100916312,0.001579874014,0.002284010478,0.004346655552,0.001550892497,0.002949441362,0.009633494397,0.007174641478,0.001659954522,0.001193962235,0.003786091999,0.002039574262,0.001696562754,0.001255547958,0.001246586568,0.0009945236373,0.005326307095,0.007814332199,0.009781643336,0.00868377771,0.002171897767,0.00310311967,0.001031513205,0.001683597338,0.00166281454,0.001284720143,0.008851756108,0.005835771658]"
sub-20724,ses-1,"[0.009134771846,0.0008846197754,0.001346833995,0.0360367547,0.2642176955,0.3083267799,0.003083390168,0.0002222779509,0.001960228201,0.003904501957,0.005299044391,0.002179098407,0.002635116725,0.009370525882,0.003027627058,0.001053767875,0.003608337886,0.001506688243,0.005879445423,0.002105367184,0.001313221232,0.002507636061,0.005233522737,0.0009157541782,0.0009933578392,0.002773130422,0.0005501960151,0.000787189231,0.002457449262,0.004747454298,0.003073631624,0.0005334670822,0.002230524385,0.0008844648778,0.003187171511,0.002497567722,0.007008338599,0.005521167444,0.00868107699,0.005117814284,0.00138850143,0.001205722348,0.002704510817,0.01161096371,0.000903052581,0.001137722334,0.01639962075,0.006912611927,0.001325613034,0.001398879564,0.001570351126,0.0003592073646,0.000312273414,0.0007275536832,0.001266751974,0.002119927551,0.0009363555493,0.002179408202,0.006170497876,0.008285778502,0.0005968201706,0.0005241732306,0.004113923413,0.0009890207084,0.001959143919,0.001524966151,0.0008790434644,0.0007390161002,0.003236274027,0.006011108321,0.005702087755,0.006217122032,0.001166378377,0.002678797828,0.001357521925,0.002078105219,0.001243982037,0.0009261323125,0.006515299771,0.002942123623]"
sub-20794,ses-1,"[0.007905628193,0.002017308652,0.001542925619,0.04482985783,0.220733958,0.2911644413,0.003322759371,0.0001416914674,0.001743560737,0.004252633241,0.007158630777,0.002395719331,0.003449337082,0.009651644915,0.003973973356,0.001326987823,0.003812256161,0.001690662589,0.003302544722,0.001920958454,0.001293170792,0.001939472806,0.002462786625,0.001054373439,0.0009652022759,0.004121332482,0.00079082731,0.0007872377929,0.002468454284,0.006400109121,0.003899349183,0.000582446392,0.002953039102,0.0008357907357,0.004669584,0.002788677,0.007594662652,0.007948135633,0.009486149281,0.005144344876,0.001934371913,0.001523655579,0.002325251441,0.01183142645,0.001039259683,0.001140710774,0.01641202821,0.007330549757,0.001733547873,0.002162022871,0.001638897973,0.0008620508876,0.000690887595,0.001246695991,0.003101342838,0.001996905081,0.001065330913,0.003564390554,0.007347741655,0.005141699969,0.001308284549,0.0006750181507,0.003865154309,0.001219302307,0.001167915535,0.0009663358076,0.0007685345192,0.0005471179861,0.004914993621,0.01008389835,0.00935957157,0.007614877302,0.001617549792,0.003281007619,0.0008913337909,0.001227048108,0.002110636098,0.000604172417,0.008202235665,0.005290570471]"
sub-20842,ses-1,"[0.00986938543,0.001426370536,0.001673000263,0.04437809157,0.2357438766,0.288292031,0.002685650861,0.0001545012214,0.001681774406,0.005124099768,0.006557718509,0.002870098616,0.002864757833,0.008644629452,0.004128806715,0.002964706771,0.005589510855,0.002485562242,0.00229195886,0.001886250097,0.001792023426,0.002689084222,0.003790239223,0.001502476693,0.001497898879,0.001507054507,0.0004461461196,0.0008762698904,0.002199067385,0.006160402405,0.003957710918,0.0004551110053,0.002773392296,0.0007530503977,0.004098287955,0.003584809821,0.006265692126,0.007965968531,0.008376827335,0.005703956204,0.001302769558,0.001757499079,0.003212671694,0.006712601215,0.0009071701346,0.0009733576949,0.0104643105,0.01020833441,0.003671025318,0.001695126364,0.00102638404,0.0007925340432,0.0004886816411,0.001446207729,0.002563957307,0.003440799424,0.0009189961541,0.003285725975,0.008563373254,0.006995090485,0.001790497488,0.0008119897526,0.003307661334,0.00160910161,0.002053912534,0.001015702474,0.001651637131,0.000958861284,0.004571710216,0.006318527729,0.01045858824,0.008161097851,0.002281086552,0.001801751281,0.0009029738052,0.000958861284,0.001813768043,0.0008209546383,0.005731041603,0.005992930711]"
sub-20846,ses-1,"[0.008071699433,0.001293501081,0.001646117477,0.05170922279,0.2084826258,0.2709020452,0.002532827112,0.0001085415292,0.001103026969,0.006184187126,0.005391853106,0.003466054546,0.003574404644,0.01407230397,0.003468351721,0.001989353741,0.004864842824,0.001931350067,0.002830311304,0.001517092802,0.00196351052,0.002825716953,0.00305773165,0.001176919438,0.001594813897,0.002519235492,0.0006885782725,0.001049809076,0.003082617715,0.00783585611,0.00501358492,0.0006164086843,0.002621076927,0.0009992712212,0.003194030714,0.002336418631,0.009636075759,0.008994398147,0.007554069283,0.005653156788,0.002510812517,0.001493546756,0.002582790674,0.007627004596,0.00112140437,0.001230328762,0.01099408918,0.009283267931,0.002403419575,0.001879855056,0.001503692613,0.0004996356106,0.0005595535976,0.001418122836,0.002000456755,0.003178524781,0.001293501081,0.003890074806,0.00697403254,0.007709128611,0.002348861664,0.0005321789262,0.003590867733,0.001703163995,0.002049271728,0.001317429989,0.001285460967,0.0008583778076,0.005078671551,0.006644005033,0.01027105328,0.01063879274,0.001641140264,0.001668897798,0.000800182702,0.001703163995,0.001453154759,0.001379645152,0.008448244738,0.006667168217]"
sub-20849,ses-1,"[0.007851580214,0.001043423424,0.001539787691,0.0497762554,0.2159398109,0.2909039995,0.002265300294,0.0001403858531,0.001739410431,0.006089886313,0.005826755687,0.002682186855,0.002947174438,0.01404397048,0.004058933833,0.002344963695,0.004474520525,0.002129928221,0.005072274574,0.001734582347,0.001466995026,0.00199827006,0.002759621909,0.001069420804,0.001629850043,0.003395443551,0.0006885591843,0.0005483590268,0.0020175824,0.008266795515,0.004520944418,0.0005849410547,0.002434654656,0.0009405480768,0.004181864302,0.002879581249,0.008106168844,0.007984723939,0.009770001177,0.005364930797,0.001448982555,0.001781377631,0.002235960393,0.01082716607,0.001101174747,0.001094304011,0.01185721942,0.009307990592,0.002593424371,0.001803104013,0.001391416928,0.0007318262528,0.000778250146,0.001058650461,0.00246009495,0.002539201264,0.001323266653,0.00366767326,0.006373443453,0.004312779681,0.001364119679,0.0006997009187,0.003528772972,0.001296155099,0.001051594029,0.0007509528968,0.001205349964,0.0004679528437,0.003667858956,0.008764273954,0.009166490565,0.007446206778,0.001858255598,0.002057692643,0.0009333059494,0.001434498301,0.002080347503,0.001353535031,0.008675511471,0.005264098101]"
